18550 [9.40e-02, 3.21e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
18900 [9.39e-02, 3.24e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
19250 [9.39e-02, 3.25e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
19600 [9.40e-02, 3.21e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
19950 [9.40e-02, 3.21e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
20300 [9.40e-02, 3.21e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
20650 [9.40e-02, 3.21e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
21000 [9.40e-02, 3.20e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
21350 [9.39e-02, 3.21e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
21700 [9.39e-02, 3.19e-02, 2.66e-01, 1.99e-01, 2.97e-01, 2.50e-01]
22050 [9.40e-02, 3.20e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
22400 [9.39e-02, 3.20e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
22750 [9.39e-02, 3.20e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
23100 [9.39e-02, 3.20e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
23450 [9.39e-02, 3.20e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
23800 [9.39e-02, 3.20e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
24150 [9.40e-02, 3.18e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
24500 [9.39e-02, 3.19e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
24850 [9.40e-02, 3.20e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
25200 [9.39e-02, 3.20e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
25550 [9.39e-02, 3.20e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
25900 [9.39e-02, 3.19e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
26250 [9.37e-02, 3.18e-02, 2.66e-01, 1.99e-01, 2.97e-01, 2.50e-01]
26600 [9.40e-02, 3.20e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
26950 [9.39e-02, 3.20e-02, 2.67e-01, 2.00e-01, 2.97e-01, 2.51e-01]
27300 [9.40e-02, 3.20e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
27650 [9.40e-02, 3.20e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
28000 [9.39e-02, 3.20e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
28350 [9.39e-02, 3.20e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
28700 [9.39e-02, 3.20e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
29050 [9.40e-02, 3.19e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
29400 [9.39e-02, 3.19e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
29750 [9.39e-02, 3.18e-02, 2.66e-01, 1.99e-01, 2.97e-01, 2.50e-01]
30100 [9.40e-02, 3.20e-02, 2.67e-01, 2.00e-01, 2.98e-01, 2.51e-01]
30450 [9.39e-02, 3.18e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
30800 [9.39e-02, 3.19e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
31150 [9.39e-02, 3.20e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
31500 [9.40e-02, 3.20e-02, 2.66e-01, 2.00e-01, 2.98e-01, 2.51e-01]
31850 [9.39e-02, 3.18e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
32200 [9.39e-02, 3.19e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
32550 [9.39e-02, 3.17e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
32900 [9.40e-02, 3.19e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
33250 [9.38e-02, 3.20e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
33600 [9.39e-02, 3.19e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
33950 [9.39e-02, 3.19e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
34300 [9.40e-02, 3.19e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
34650 [9.39e-02, 3.19e-02, 2.66e-01, 2.00e-01, 2.97e-01, 2.51e-01]
35000 [9.39e-02, 3.18e-02, 2.66e-01, 1.99e-01, 2.97e-01, 2.50e-01]
