t,1uM,1.7uM,4uM
7.035175879,0.7479440692,0.9957734249,1
7.085427136,0.7579047204,0.9960525556,1
7.135678392,0.767575672,0.9963136011,1
7.185929648,0.7769590922,0.9965577337,1
7.236180905,0.7860577978,0.9967860493,1
7.286432161,0.794875185,0.996999573,1
7.336683417,0.8034151624,0.9971992635,1
7.386934673,0.8116820881,0.9973860173,1
7.43718593,0.8196807107,0.9975606728,1
7.487437186,0.8274161131,0.9977240142,1
7.537688442,0.8348936613,0.9978767746,1
7.587939698,0.8421189561,0.9980196398,1
7.638190955,0.8490977893,0.998153251,1
7.688442211,0.8558361033,0.9982782079,1
7.738693467,0.8623399538,0.9983950714,1
7.788944724,0.868615477,0.9985043658,1
7.83919598,0.874668859,0.9986065816,1
7.889447236,0.8805063087,0.9987021774,1
7.939698492,0.8861340338,0.9987915823,1
7.989949749,0.891558219,0.9988751972,1
8.040201005,0.8967850073,0.9989533973,1
8.090452261,0.9018204829,0.9990265334,1
8.140703518,0.906670657,0.9990949336,1
8.190954774,0.9113414551,0.9991589046,1
8.24120603,0.9158387063,0.9992187333,1
8.291457286,0.9201681338,0.9992746881,1
8.341708543,0.9243353479,0.9993270199,1
8.391959799,0.9283458388,0.9993759634,1
8.442211055,0.9322049726,0.9994217379,1
8.492462312,0.9359179861,0.9994645488,1
8.542713568,0.939489985,0.9995045879,1
8.592964824,0.9429259406,0.9995420349,1
8.64321608,0.9462306893,0.9995770575,1
8.693467337,0.9494089312,0.9996098127,1
8.743718593,0.9524652306,0.9996404474,1
8.793969849,0.9554040161,0.9996690989,1
8.844221106,0.9582295815,0.9996958956,1
8.894472362,0.960946087,0.9997209576,1
8.944723618,0.9635575612,0.9997443972,1
8.994974874,0.9660679026,0.9997663195,1
9.045226131,0.9684808819,0.9997868227,1
9.095477387,0.9708001445,0.9998059987,1
9.145728643,0.973029213,0.9998239334,1
9.195979899,0.9751714896,0.9998407072,1
9.246231156,0.9772302594,0.9998563952,1
9.296482412,0.9792086929,0.9998710678,1
9.346733668,0.981109849,0.9998847906,1
9.396984925,0.9829366781,0.9998976252,1
9.447236181,0.984692025,0.9999096291,1
9.497487437,0.9863786321,0.9999208559,1
9.547738693,0.9879991422,0.9999313561,1
9.59798995,0.9895561017,0.9999411767,1
9.648241206,0.9910519634,0.9999503617,1
9.698492462,0.9924890895,0.9999589521,1
9.748743719,0.9938697547,0.9999669866,1
9.798994975,0.9951961489,0.999974501,1
9.849246231,0.9964703798,0.9999815291,1
9.899497487,0.9976944762,0.9999881023,1
9.949748744,0.9988703902,0.9999942501,1
10,1,1,1
