t,1uM,1.4uM,2uM,4uM
0,1.39E-06,2.65E-06,5.42E-06,2.39E-05
0.05025125628,1.39E-06,2.65E-06,5.42E-06,2.39E-05
0.1005025126,5.56E-06,1.06E-05,2.19E-05,1.08E-04
0.1507537688,1.25E-05,2.41E-05,5.01E-05,0.0002959795268
0.2010050251,2.24E-05,4.31E-05,9.11E-05,0.0006908466896
0.2512562814,3.50E-05,6.81E-05,0.0001464601874,0.001516109916
0.3015075377,5.08E-05,9.92E-05,0.0002184199059,0.003250441914
0.351758794,6.94E-05,0.000137020901,0.0003097611847,0.006902215844
0.4020100503,9.11E-05,0.0001819374798,0.000424050616,0.014525361
0.4522613065,0.0001161803454,0.0002345877944,0.0005657472278,0.02999856475
0.5025125628,0.0001445292123,0.0002956749774,0.0007403736269,0.05950760236
0.5527638191,0.0001763570528,0.0003660145177,0.000954727043,0.1096205223
0.6030150754,0.0002118184356,0.0004465449672,0.001217137676,0.1807239275
0.6532663317,0.0002510855553,0.000538340238,0.00153778319,0.2615938441
0.7035175879,0.0002943490529,0.000642623638,0.001929069773,0.3362724944
0.7537688442,0.0003418189229,0.0007607838137,0.002406091908,0.3957793752
0.8040201005,0.0003937255119,0.0008943927877,0.002987184738,0.439923627
0.8542713568,0.0004503206122,0.001045226302,0.003694584627,0.4726351685
0.9045226131,0.0005118786554,0.001215286698,0.004555214909,0.4984009831
0.9547738693,0.0005786980118,0.001406828592,0.005601614681,0.5210016499
1.005025126,0.0006511023994,0.001622387627,0.006873028142,0.5433390737
1.055276382,0.0007294424102,0.001864812602,0.008416669892,0.5675186789
1.105527638,0.0008140971598,0.002137301318,0.01028917645,0.5948843229
1.155778894,0.0009054760656,0.002443440488,0.01255824468,0.6259723456
1.206030151,0.001004020763,0.002787250103,0.01530444184,0.6604724519
1.256281407,0.001110207168,0.003173232631,0.01862314661,0.6973144889
1.306532663,0.001224547687,0.00360642749,0.02262654329,0.7349371042
