t,1uM,1.7uM,3uM,5uM
0,1.39E-06,4.04E-06,1.23E-05,3.55E-05
0.05025125628,1.39E-06,4.04E-06,1.23E-05,3.55E-05
0.1005025126,5.56E-06,1.63E-05,5.08E-05,0.0001649573209
0.1507537688,1.25E-05,3.71E-05,0.0001207037405,0.000471255313
0.2010050251,2.24E-05,6.71E-05,0.0002312424776,0.001150450902
0.2512562814,3.50E-05,1.07E-04,0.0003971397877,0.002635080044
0.3015075377,5.08E-05,1.59E-04,0.0006404349451,0.005860448882
0.351758794,6.94E-05,0.0002233910428,0.0009933935953,0.01281103809
0.4020100503,9.11E-05,0.0003029940479,0.001502705915,0.02754801608
0.4522613065,0.0001161803454,0.0004001675111,0.002235496198,0.05776163331
0.5025125628,0.0001445292123,0.0005180243021,0.003287826783,0.1157273779
0.5527638191,0.0001763570528,0.0006603707803,0.00479658887,0.2144444558
0.6030150754,0.0002118184356,0.0008318413218,0.00695587731,0.3544919776
0.6532663317,0.0002510855553,0.001038061714,0.01003905452,0.5131486336
0.7035175879,0.0002943490529,0.001285846706,0.01442751478,0.658117474
0.7537688442,0.0003418189229,0.001583437861,0.02064625477,0.7709124956
0.8040201005,0.0003937255119,0.001940788763,0.02940401052,0.8504432435
0.8542713568,0.0004503206122,0.002369905464,0.04163083802,0.9036394991
0.9045226131,0.0005118786554,0.002885250804,0.05849740392,0.9383045622
0.9547738693,0.0005786980118,0.003504221637,0.08138784477,0.9606154551
1.005025126,0.0006511023994,0.004247707885,0.111785811,0.9748923363
1.055276382,0.0007294424102,0.005140741247,0.1510334699,0.9840038879
1.105527638,0.0008140971598,0.006213238882,0.1999568508,0.989811795
1.155778894,0.0009054760656,0.007500842584,0.2584328832,0.993511808
1.206030151,0.001004020763,0.009045845971,0.3250765538,0.9958683501
1.256281407,0.001110207168,0.01089818962,0.3972599202,0.9973690576
1.306532663,0.001224547687,0.01311648539,0.4715495126,0.9983246958
1.35678392,0.001347593597,0.01576900472,0.5444120987,0.9989332233
1.407035176,0.001479937586,0.0189345298,0.612883237,0.9993207147
1.457286432,0.001622216486,0.02270292106,0.6749520384,0.9995674559
1.507537688,0.001775114185,0.02717519954,0.7296107784,0.9997245719
1.557788945,0.001939364747,0.03246288502,0.7766753408,0.9998246176
1.608040201,0.002115755741,0.03868627817,0.8165213699,0.999888323
1.658291457,0.002305131795,0.04597134792,0.8498384636,0.9999288882
1.708542714,0.002508398382,0.05444490756,0.8774461399,0.9999547187
1.75879397,0.002726525859,0.0642278696,0.9001754591,0.9999711665
