t,1uM,1.4uM,2uM,3uM,5uM
3.366834171,0.02899305831,0.2879361264,0.9416104108,0.9998774531,1
3.417085427,0.03104409188,0.3094814973,0.9478730732,0.999900645,1
3.467336683,0.03323093471,0.3316668976,0.9534703186,0.999919448,1
3.51758794,0.03556165111,0.3543910336,0.9584711671,0.9999346924,1
3.567839196,0.03804465496,0.3775444798,0.9629379311,0.9999470519,1
3.618090452,0.04068870632,0.4010120764,0.9669267437,0.9999570723,1
3.668341709,0.04350290479,0.4246755037,0.9704880818,0.9999651964,1
3.718592965,0.04649667913,0.448415905,0.9736672695,0.999971783,1
3.768844221,0.04967977274,0.4721164313,0.9765049561,0.999977123,1
3.819095477,0.05306222444,0.495664593,0.9790375629,0.9999814525,1
3.869346734,0.05665434415,0.5189543233,0.9812976971,0.9999849626,1
3.91959799,0.06046668284,0.5418876851,0.9833145323,0.9999878084,1
3.969849246,0.06450999641,0.5643761821,0.9851141561,0.9999901157,1
4.020100503,0.06879520284,0.5863416608,0.9867198865,0.9999919863,1
4.070351759,0.07333333237,0.6077168166,0.9881525586,0.9999935029,1
4.120603015,0.07813547012,0.6284453371,0.9894307834,0.9999947325,1
4.170854271,0.08321269103,0.648481728,0.9905711812,0.9999957293,1
4.221105528,0.08857598671,0.6677908788,0.9915885918,0.9999965376,1
4.271356784,0.09423618428,0.6863474238,0.9924962629,0.9999971928,1
4.32160804,0.1002038571,0.7041349587,0.9933060196,0.9999977241,1
4.371859296,0.1064892275,0.7211451622,0.9940284159,0.9999981548,1
4.422110553,0.1131020624,0.7373768711,0.9946728703,0.999998504,1
4.472361809,0.1200515619,0.7528351462,0.9952477878,0.9999987871,1
4.522613065,0.1273462415,0.7675303594,0.995760668,0.9999990167,1
4.572864322,0.1349938101,0.7814773255,0.9962182027,0.9999992028,1
4.623115578,0.1430010443,0.7946944937,0.9966263626,0.9999993536,1
4.673366834,0.15137366,0.8072032104,0.9969904745,0.999999476,1
4.72361809,0.1601161854,0.8190270565,0.9973152912,0.9999995751,1
4.773869347,0.1692318353,0.8301912622,0.9976050527,0.9999996555,1
4.824120603,0.1787223897,0.8407221971,0.9978635417,0.9999997207,1
4.874371859,0.1885880798,0.8506469318,0.998094133,0.9999997736,1
4.924623116,0.1988274841,0.8599928665,0.9982998371,0.9999998164,1
4.974874372,0.2094374356,0.8687874199,0.99848334,0.9999998512,1
5.025125628,0.2204129454,0.8770577738,0.9986470375,0.9999998793,1
5.075376884,0.2317471428,0.8848306652,0.9987930671,0.9999999022,1
5.125628141,0.2434312362,0.8921322219,0.9989233357,0.9999999207,1
5.175879397,0.2554544947,0.8989878339,0.9990395443,0.9999999357,1
5.226130653,0.2678042549,0.9054220569,0.9991432104,0.9999999479,1
5.27638191,0.2804659514,0.9114585424,0.9992356876,0.9999999577,1
5.326633166,0.2934231725,0.9171199906,0.9993181836,0.9999999657,1
5.376884422,0.3066577427,0.922428121,0.9993917756,0.9999999722,1
5.427135678,0.3201498287,0.9274036594,0.9994574247,0.9999999775,1
