# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.028319474993298144e-03 3.213907149477084578e-03 1.293557159305656424e-03 1.932100000000000219e-12 1.632160000000000105e-11 5.260144012508706224e-01 1.135848538308961597e+00 1.028319474993298144e-03 3.213907149477084578e-03 1.293557159305656424e-03 1.932100000000000219e-12 1.632160000000000105e-11 5.260144012508706224e-01 1.135848538308961597e+00
3.500000000000000000e+02 7.668768261230527730e-04 2.801043684170365349e-03 1.834430265844420166e-04 5.194582435323300316e-07 1.001798031520534263e-04 3.286593039399872233e-03 3.107373825138427716e-03 7.668768261230527730e-04 2.801043684170365349e-03 1.834430265844420166e-04 5.194582435323300316e-07 1.001798031520534263e-04 3.286593039399872233e-03 3.107373825138427716e-03
7.000000000000000000e+02 7.754659919551594276e-04 2.591462752676089963e-03 3.431797842528339407e-04 9.201573828959501403e-07 1.181580880300766933e-04 2.501455447529214293e-03 2.791288500316915343e-03 7.754659919551594276e-04 2.591462752676089963e-03 3.431797842528339407e-04 9.201573828959501403e-07 1.181580880300766933e-04 2.501455447529214293e-03 2.791288500316915343e-03
1.050000000000000000e+03 1.059758231550505603e-03 1.755607115687248150e-03 8.297537362020660206e-04 7.530848827748223748e-07 9.662487169034428421e-05 2.068911154543363450e-03 2.706684969926867121e-03 1.059758231550505603e-03 1.755607115687248150e-03 8.297537362020660206e-04 7.530848827748223748e-07 9.662487169034428421e-05 2.068911154543363450e-03 2.706684969926867121e-03
1.400000000000000000e+03 9.575138994580801796e-04 1.912221744574597046e-03 8.578264286619532736e-04 8.864488952679234185e-07 6.911935297032499256e-05 1.734014549995598195e-03 1.844162677351925518e-03 9.575138994580801796e-04 1.912221744574597046e-03 8.578264286619532736e-04 8.864488952679234185e-07 6.911935297032499256e-05 1.734014549995598195e-03 1.844162677351925518e-03
1.750000000000000000e+03 1.060381523245967168e-03 1.748838752994451903e-03 1.288759823361928548e-03 3.809394632707072096e-08 4.270110995563108355e-05 1.514915653364071971e-03 1.703172144680866222e-03 1.060381523245967168e-03 1.748838752994451903e-03 1.288759823361928548e-03 3.809394632707072096e-08 4.270110995563108355e-05 1.514915653364071971e-03 1.703172144680866222e-03
2.100000000000000000e+03 1.007100795330319104e-03 1.345324984019546357e-03 1.039741657225238484e-03 1.177251136146013156e-06 6.084197556284540035e-05 1.173698081871398912e-03 1.182785002193308902e-03 1.007100795330319104e-03 1.345324984019546357e-03 1.039741657225238484e-03 1.177251136146013156e-06 6.084197556284540035e-05 1.173698081871398912e-03 1.182785002193308902e-03
2.450000000000000000e+03 1.095923934128406520e-03 1.900600800529612987e-03 1.809149518888012982e-03 2.057359521265898469e-06 1.900571554343091207e-05 1.052270752478987655e-03 1.193639452247476909e-03 1.095923934128406520e-03 1.900600800529612987e-03 1.809149518888012982e-03 2.057359521265898469e-06 1.900571554343091207e-05 1.052270752478987655e-03 1.193639452247476909e-03
2.800000000000000000e+03 9.878169901887151778e-04 9.698593106952937103e-04 1.061344028451545896e-03 7.969277486767111519e-07 4.458260799096580839e-05 1.022507952264237706e-03 8.604567528922441033e-04 9.878169901887151778e-04 9.698593106952937103e-04 1.061344028451545896e-03 7.969277486767111519e-07 4.458260799096580839e-05 1.022507952264237706e-03 8.604567528922441033e-04
3.150000000000000000e+03 9.725729948769679155e-04 8.449746473655849301e-04 1.053220187414302938e-03 7.623568618479374731e-07 3.798190378664110194e-05 1.002352789520534427e-03 7.605332612401452703e-04 9.725729948769679155e-04 8.449746473655849301e-04 1.053220187414302938e-03 7.623568618479374731e-07 3.798190378664110194e-05 1.002352789520534427e-03 7.605332612401452703e-04
