26950 [1.05e-01, 3.73e-02, 1.49e+00, -2.38e-02]
27300 [1.04e-01, 3.81e-02, 1.50e+00, -2.35e-02]
27650 [1.05e-01, 3.51e-02, 1.52e+00, -2.39e-02]
28000 [1.05e-01, 3.68e-02, 1.53e+00, -2.42e-02]
28350 [1.05e-01, 3.55e-02, 1.54e+00, -2.46e-02]
28700 [1.05e-01, 3.57e-02, 1.55e+00, -2.52e-02]
29050 [1.05e-01, 3.68e-02, 1.56e+00, -2.52e-02]
29400 [1.04e-01, 3.67e-02, 1.57e+00, -2.37e-02]
29750 [1.05e-01, 3.61e-02, 1.58e+00, -2.51e-02]
30100 [1.05e-01, 3.35e-02, 1.59e+00, -2.29e-02]
30450 [1.06e-01, 3.25e-02, 1.60e+00, -2.21e-02]
30800 [1.04e-01, 3.54e-02, 1.60e+00, -2.36e-02]
31150 [1.04e-01, 3.57e-02, 1.61e+00, -2.46e-02]
31500 [1.06e-01, 3.31e-02, 1.62e+00, -2.42e-02]
31850 [1.05e-01, 3.50e-02, 1.63e+00, -2.54e-02]
32200 [1.05e-01, 3.52e-02, 1.64e+00, -2.56e-02]
32550 [1.05e-01, 3.47e-02, 1.64e+00, -2.52e-02]
32900 [1.05e-01, 3.25e-02, 1.65e+00, -2.26e-02]
33250 [1.05e-01, 3.46e-02, 1.66e+00, -2.49e-02]
33600 [1.05e-01, 3.40e-02, 1.66e+00, -2.48e-02]
33950 [1.05e-01, 3.52e-02, 1.67e+00, -2.59e-02]
34300 [1.08e-01, 2.85e-02, 1.68e+00, -2.08e-02]
34650 [1.05e-01, 3.65e-02, 1.58e+00, -2.55e-02]
35000 [1.04e-01, 3.58e-02, 1.61e+00, -2.47e-02]
