20500 [1.18e-01, -1.24e-02, 1.92e-01, 5.77e-02, 2.74e-01, 1.67e-01, 3.08e-01, 2.46e-01]
21000 [1.18e-01, -1.27e-02, 1.92e-01, 5.75e-02, 2.74e-01, 1.66e-01, 3.08e-01, 2.46e-01]
21500 [1.18e-01, -1.30e-02, 1.91e-01, 5.74e-02, 2.74e-01, 1.66e-01, 3.08e-01, 2.45e-01]
22000 [1.18e-01, -1.32e-02, 1.91e-01, 5.73e-02, 2.74e-01, 1.66e-01, 3.08e-01, 2.45e-01]
22500 [1.18e-01, -1.34e-02, 1.91e-01, 5.72e-02, 2.74e-01, 1.66e-01, 3.08e-01, 2.45e-01]
23000 [1.18e-01, -1.35e-02, 1.91e-01, 5.71e-02, 2.73e-01, 1.66e-01, 3.08e-01, 2.45e-01]
23500 [1.18e-01, -1.36e-02, 1.91e-01, 5.70e-02, 2.73e-01, 1.66e-01, 3.08e-01, 2.45e-01]
24000 [1.18e-01, -1.37e-02, 1.91e-01, 5.70e-02, 2.73e-01, 1.66e-01, 3.08e-01, 2.45e-01]
24500 [1.18e-01, -1.38e-02, 1.91e-01, 5.69e-02, 2.73e-01, 1.66e-01, 3.08e-01, 2.45e-01]
25000 [1.18e-01, -1.38e-02, 1.91e-01, 5.69e-02, 2.73e-01, 1.66e-01, 3.08e-01, 2.45e-01]
25500 [1.18e-01, -1.39e-02, 1.91e-01, 5.68e-02, 2.73e-01, 1.66e-01, 3.08e-01, 2.45e-01]
26000 [1.18e-01, -1.39e-02, 1.91e-01, 5.68e-02, 2.73e-01, 1.66e-01, 3.08e-01, 2.45e-01]
26500 [1.18e-01, -1.39e-02, 1.91e-01, 5.68e-02, 2.73e-01, 1.66e-01, 3.08e-01, 2.45e-01]
27000 [1.18e-01, -1.40e-02, 1.91e-01, 5.67e-02, 2.73e-01, 1.66e-01, 3.08e-01, 2.45e-01]
27500 [1.18e-01, -1.40e-02, 1.91e-01, 5.67e-02, 2.73e-01, 1.66e-01, 3.08e-01, 2.45e-01]
28000 [1.18e-01, -1.40e-02, 1.91e-01, 5.67e-02, 2.73e-01, 1.66e-01, 3.08e-01, 2.45e-01]
28500 [1.18e-01, -1.40e-02, 1.91e-01, 5.67e-02, 2.73e-01, 1.66e-01, 3.08e-01, 2.45e-01]
29000 [1.18e-01, -1.40e-02, 1.91e-01, 5.66e-02, 2.73e-01, 1.66e-01, 3.08e-01, 2.45e-01]
29500 [1.18e-01, -1.40e-02, 1.91e-01, 5.66e-02, 2.73e-01, 1.66e-01, 3.08e-01, 2.45e-01]
30000 [1.18e-01, -1.40e-02, 1.91e-01, 5.66e-02, 2.73e-01, 1.66e-01, 3.08e-01, 2.45e-01]
30500 [1.18e-01, -1.39e-02, 1.91e-01, 5.66e-02, 2.73e-01, 1.66e-01, 3.08e-01, 2.45e-01]
31000 [1.18e-01, -1.39e-02, 1.91e-01, 5.66e-02, 2.73e-01, 1.65e-01, 3.08e-01, 2.45e-01]
31500 [1.18e-01, -1.39e-02, 1.91e-01, 5.66e-02, 2.73e-01, 1.65e-01, 3.08e-01, 2.45e-01]
32000 [1.18e-01, -1.39e-02, 1.91e-01, 5.66e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
32500 [1.18e-01, -1.39e-02, 1.91e-01, 5.66e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
33000 [1.18e-01, -1.40e-02, 1.91e-01, 5.66e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
33500 [1.18e-01, -1.41e-02, 1.91e-01, 5.66e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
34000 [1.18e-01, -1.41e-02, 1.91e-01, 5.66e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
34500 [1.18e-01, -1.41e-02, 1.91e-01, 5.65e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
35000 [1.18e-01, -1.42e-02, 1.91e-01, 5.65e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
35500 [1.18e-01, -1.42e-02, 1.91e-01, 5.65e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
36000 [1.18e-01, -1.42e-02, 1.91e-01, 5.65e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
36500 [1.18e-01, -1.42e-02, 1.91e-01, 5.65e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
37000 [1.18e-01, -1.42e-02, 1.91e-01, 5.65e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
37500 [1.18e-01, -1.42e-02, 1.91e-01, 5.65e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
38000 [1.18e-01, -1.42e-02, 1.91e-01, 5.65e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
38500 [1.18e-01, -1.42e-02, 1.91e-01, 5.65e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
39000 [1.18e-01, -1.42e-02, 1.91e-01, 5.65e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
39500 [1.18e-01, -1.42e-02, 1.91e-01, 5.65e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
40000 [1.18e-01, -1.42e-02, 1.91e-01, 5.65e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
40500 [1.18e-01, -1.42e-02, 1.91e-01, 5.65e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
41000 [1.18e-01, -1.42e-02, 1.91e-01, 5.64e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
41500 [1.18e-01, -1.42e-02, 1.91e-01, 5.64e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
42000 [1.18e-01, -1.42e-02, 1.91e-01, 5.64e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
42500 [1.18e-01, -1.42e-02, 1.91e-01, 5.64e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
43000 [1.18e-01, -1.42e-02, 1.91e-01, 5.64e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
43500 [1.18e-01, -1.42e-02, 1.91e-01, 5.64e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
44000 [1.18e-01, -1.42e-02, 1.91e-01, 5.64e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
44500 [1.18e-01, -1.42e-02, 1.91e-01, 5.64e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
45000 [1.18e-01, -1.42e-02, 1.91e-01, 5.64e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
45500 [1.18e-01, -1.42e-02, 1.91e-01, 5.64e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.44e-01]
46000 [1.18e-01, -1.42e-02, 1.91e-01, 5.64e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.44e-01]
46500 [1.18e-01, -1.43e-02, 1.91e-01, 5.64e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.44e-01]
47000 [1.18e-01, -1.42e-02, 1.91e-01, 5.64e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.44e-01]
47500 [1.18e-01, -1.43e-02, 1.91e-01, 5.64e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.44e-01]
48000 [1.18e-01, -1.43e-02, 1.91e-01, 5.64e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.44e-01]
48500 [1.18e-01, -1.43e-02, 1.91e-01, 5.64e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.44e-01]
49000 [1.18e-01, -1.43e-02, 1.91e-01, 5.64e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.44e-01]
49500 [1.18e-01, -1.43e-02, 1.91e-01, 5.64e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.44e-01]
50000 [1.18e-01, -1.43e-02, 1.91e-01, 5.64e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.44e-01]
